run_id,dataset,method,noise,seed,found_eq,r2,time_s,status
bacon3_S-3_N0.0_S48,S-3,bacon3,0.0,48,Failed to find a simple closing relation.,0.0000,0.05,Failed
bacon3_S-3_N0.0_S49,S-3,bacon3,0.0,49,Failed to find a simple closing relation.,0.0000,0.05,Failed
bacon3_S-3_N0.0_S50,S-3,bacon3,0.0,50,Failed to find a simple closing relation.,0.0000,0.06,Failed
bacon3_S-3_N0.0_S51,S-3,bacon3,0.0,51,Failed to find a simple closing relation.,0.0000,0.06,Failed
bacon7_S-3_N0.0_S42,S-3,bacon7,0.0,42,x2*y/x1 = 0.8075,0.7778,0.01,Success
bacon7_S-3_N0.0_S43,S-3,bacon7,0.0,43,x2*y/x1 = 0.8102,0.7864,0.01,Success
bacon7_S-3_N0.0_S44,S-3,bacon7,0.0,44,x2*y/x1 = 0.799,0.7652,0.01,Success
bacon7_S-3_N0.0_S45,S-3,bacon7,0.0,45,x2*y/x1 = 0.8076,0.7529,0.01,Success
bacon7_S-3_N0.0_S46,S-3,bacon7,0.0,46,x2*y/x1 = 0.8075,0.7828,0.01,Success
bacon7_S-3_N0.0_S47,S-3,bacon7,0.0,47,x2*y/x1 = 0.8198,0.7807,0.01,Success
bacon7_S-3_N0.0_S48,S-3,bacon7,0.0,48,x2*y/x1 = 0.8058,0.8099,0.01,Success
bacon7_S-3_N0.0_S49,S-3,bacon7,0.0,49,x2*y/x1 = 0.8026,0.8171,0.01,Success
bacon7_S-3_N0.0_S50,S-3,bacon7,0.0,50,x2*y/x1 = 0.8071,0.7939,0.01,Success
bacon7_S-3_N0.0_S51,S-3,bacon7,0.0,51,x2*y/x1 = 0.8085,0.7767,0.01,Success
bacon3_S-3_N0.01_S42,S-3,bacon3,0.01,42,y = 0.5731 * (x1/x2) + 0.2289,0.9567,0.04,Success
bacon3_S-3_N0.01_S43,S-3,bacon3,0.01,43,y = 0.5783 * (x1/x2) + 0.2211,0.9617,0.05,Success
bacon3_S-3_N0.01_S44,S-3,bacon3,0.01,44,y = 0.5619 * (x1/x2) + 0.2395,0.9536,0.04,Success
bacon3_S-3_N0.01_S45,S-3,bacon3,0.01,45,y = 0.558 * (x1/x2) + 0.2477,0.9578,0.06,Success
bacon3_S-3_N0.01_S46,S-3,bacon3,0.01,46,y = 0.5784 * (x1/x2) + 0.213,0.9475,0.04,Success
bacon3_S-3_N0.01_S47,S-3,bacon3,0.01,47,y = 0.5789 * (x1/x2) + 0.2276,0.9601,0.04,Success
bacon3_S-3_N0.01_S48,S-3,bacon3,0.01,48,y = 0.5894 * (x1/x2) + 0.2222,0.9560,0.04,Success
bacon3_S-3_N0.01_S49,S-3,bacon3,0.01,49,y = 0.5852 * (x1/x2) + 0.2154,0.9581,0.03,Success
bacon3_S-3_N0.01_S50,S-3,bacon3,0.01,50,y = 0.578 * (x1/x2) + 0.2219,0.9626,0.04,Success
bacon3_S-3_N0.01_S51,S-3,bacon3,0.01,51,y = 0.57 * (x1/x2) + 0.2323,0.9551,0.04,Success
bacon7_S-3_N0.01_S42,S-3,bacon7,0.01,42,x2*y/x1 = 0.8113,0.7728,0.01,Success
bacon7_S-3_N0.01_S43,S-3,bacon7,0.01,43,x2*y/x1 = 0.803,0.8014,0.01,Success
bacon7_S-3_N0.01_S44,S-3,bacon7,0.01,44,x2*y/x1 = 0.7917,0.7755,0.01,Success
bacon7_S-3_N0.01_S45,S-3,bacon7,0.01,45,x2*y/x1 = 0.8054,0.7487,0.01,Success
bacon7_S-3_N0.01_S46,S-3,bacon7,0.01,46,x2*y/x1 = 0.8076,0.7825,0.01,Success
bacon7_S-3_N0.01_S47,S-3,bacon7,0.01,47,x2*y/x1 = 0.8205,0.7780,0.01,Success
bacon7_S-3_N0.01_S48,S-3,bacon7,0.01,48,x2*y/x1 = 0.8108,0.8034,0.01,Success
